Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
13086,"203,11",M,CASADO,1990-10-02 00:00:00,"203,11"
13087,81,M,SOLTEIRO,1975-07-19 00:00:00,81
13088,"382,37",F,Outros,1995-03-04 00:00:00,"382,37"
13089,"401,6",F,CASADO,1981-06-13 00:00:00,"401,6"
13090,"1.099,9",F,SOLTEIRO,1968-04-07 00:00:00,"219,98"
13091,"168,41",F,Outros,1978-04-19 00:00:00,"168,41"
13092,"304,88",F,CASADO,1988-09-20 00:00:00,"304,88"
13093,"113,5",F,CASADO,1987-12-23 00:00:00,"113,5"
13094,"299,17",M,Outros,1994-02-12 00:00:00,"299,17"
13095,"633,01",F,CASADO,1991-04-22 00:00:00,"633,01"
13096,"284,06",F,CASADO,1973-04-13 00:00:00,"284,06"
13097,"804,28",F,SOLTEIRO,1972-11-19 00:00:00,"804,28"
13098,400,F,CASADO,1983-02-17 00:00:00,50
13099,"688,43",F,SOLTEIRO,1977-02-09 00:00:00,"688,43"
13100,"144,39",M,SOLTEIRO,1987-04-11 00:00:00,"144,39"
13101,"374,56",F,CASADO,1989-07-26 00:00:00,"374,56"
13102,"47,07",M,CASADO,1991-01-30 00:00:00,"47,07"
13103,"400,18",M,CASADO,1974-05-17 00:00:00,"400,18"
13104,"125,46",M,Outros,1990-10-08 00:00:00,"125,46"
13105,"98,18",F,CASADO,1993-10-03 00:00:00,"98,18"
13106,"668,98",M,CASADO,1959-08-24 00:00:00,100
13107,"98,21",M,SOLTEIRO,1987-10-10 00:00:00,"98,21"
13108,"160,12",F,CASADO,1993-06-06 00:00:00,"160,12"
13109,"135,86",F,CASADO,1985-07-24 00:00:00,"135,86"
13110,"146,1",M,CASADO,1985-10-04 00:00:00,"146,1"
13111,"376,62",F,CASADO,1987-06-21 00:00:00,"376,62"
13112,"465,18",M,CASADO,1977-06-10 00:00:00,60
13113,"137,63",F,CASADO,1981-01-30 00:00:00,"137,63"
13114,"121,87",F,SOLTEIRO,1980-12-25 00:00:00,65
13115,"156,78",F,CASADO,1972-11-06 00:00:00,"156,78"
13116,"149,16",M,CASADO,1973-10-06 00:00:00,"149,16"
13117,"376,65",F,Outros,1978-05-06 00:00:00,50
13118,"354,95",F,CASADO,1987-10-07 00:00:00,"354,95"
13119,"585,37",F,CASADO,1996-11-10 00:00:00,"585,37"
13120,"58,53",F,CASADO,1994-09-10 00:00:00,"58,53"
13121,"355,43",F,CASADO,1988-06-24 00:00:00,107
13122,"849,68",F,CASADO,1991-09-26 00:00:00,"849,68"
13123,"470,61",F,CASADO,1996-09-28 00:00:00,"470,61"
13124,"521,28",F,CASADO,1991-03-09 00:00:00,160
13125,"250,44",F,Outros,1991-10-01 00:00:00,"250,44"
13126,"351,84",M,CASADO,1991-11-06 00:00:00,"351,84"
13127,"849,38",F,CASADO,1979-08-08 00:00:00,"242,32"
13128,"427,64",F,CASADO,1993-09-25 00:00:00,"427,64"
13129,"257,74",M,SOLTEIRO,1987-10-10 00:00:00,"257,74"
13130,"48,95",F,SOLTEIRO,1979-08-21 00:00:00,"48,95"
13131,"140,71",M,SOLTEIRO,1986-09-30 00:00:00,"140,71"
13132,"365,32",F,CASADO,1982-03-11 00:00:00,100
13133,"395,14",F,Outros,1990-03-30 00:00:00,100
13134,"193,25",F,CASADO,1997-04-22 00:00:00,"193,25"
13135,"725,28",F,SOLTEIRO,1970-07-09 00:00:00,180
13136,"948,41",F,Outros,1979-08-08 00:00:00,200
13137,"72,68",M,CASADO,1968-11-03 00:00:00,"72,68"
13138,"918,3",M,CASADO,1986-03-07 00:00:00,100
13139,"241,48",F,CASADO,1993-03-19 00:00:00,"241,48"
13140,"1.542,26",M,CASADO,1997-08-11 00:00:00,200
13141,"2.031,68",M,CASADO,1990-10-25 00:00:00,"2.031,68"
13142,"299,68",F,CASADO,1990-03-07 00:00:00,"299,68"
13143,"903,11",F,CASADO,1996-07-15 00:00:00,50
13144,"240,07",M,CASADO,1988-12-05 00:00:00,50
13145,"259,12",F,CASADO,1988-09-24 00:00:00,"259,12"
13146,"104,49",F,CASADO,1988-11-21 00:00:00,"104,49"
13147,"126,87",M,SOLTEIRO,1953-12-13 00:00:00,"126,87"
13148,"270,26",F,CASADO,1975-10-16 00:00:00,50
13149,"381,32",F,SOLTEIRO,1977-12-23 00:00:00,50
13150,"286,79",M,CASADO,1966-12-23 00:00:00,80
13151,"82,47",F,CASADO,1956-02-25 00:00:00,"82,47"
13152,"1.340,72",M,CASADO,1970-12-18 00:00:00,134
13153,"100,34",F,SOLTEIRO,1995-04-05 00:00:00,"100,34"
13154,"202,26",F,Outros,1978-09-24 00:00:00,"202,26"
13155,"1.103,11",F,CASADO,1996-11-07 00:00:00,250
13156,"1.559,76",M,CASADO,1965-10-10 00:00:00,"1.559,76"
13157,"691,82",M,CASADO,1989-05-10 00:00:00,"691,82"
13158,"490,89",F,CASADO,1987-09-29 00:00:00,"490,89"
13159,"802,81",F,CASADO,1989-08-07 00:00:00,"483,48"
13160,"187,19",F,Outros,1986-09-09 00:00:00,"187,19"
13161,"139,74",F,SOLTEIRO,1987-06-01 00:00:00,"139,74"
13162,"135,94",M,CASADO,1974-11-25 00:00:00,"135,94"
13163,"88,42",F,SOLTEIRA,1987-12-25 00:00:00,"88,42"
13164,"152,12",M,CASADO,1972-04-28 00:00:00,"152,12"
13165,"200,59",F,CASADO,1994-09-23 00:00:00,"200,59"
13166,"97,4",F,SOLTEIRO,1956-01-02 00:00:00,"97,4"
13167,"125,66",F,CASADO,1991-01-07 00:00:00,"125,66"
13168,"200,33",F,Outros,1969-04-10 00:00:00,"200,33"
13169,"450,82",M,CASADO,1986-12-28 00:00:00,"450,82"
13170,"402,39",F,SOLTEIRA,1988-03-02 00:00:00,"402,39"
13171,"116,24",F,CASADO,1978-12-29 00:00:00,"116,24"
13172,"186,29",M,SOLTEIRO,1973-01-07 00:00:00,"186,29"
13173,"167,43",M,CASADO,1978-02-19 00:00:00,"167,43"
13174,"154,36",F,CASADO,1991-11-25 00:00:00,"154,36"
13175,"246,05",F,CASADO,1990-11-06 00:00:00,"246,05"
